display_taxon	NPT25	NPT06	NPT23	NPT07	NPT11	NPT24	PT15	PT18	PT24	PT25	NPT15	PT02	PT03	PT04	PT13	NPT09	PT08	PT10	PT11	PT05	PT01	PT19	PT16	PT17	NPT17	PT23	PT21	PT22	NPT12	NPT03	NPT13	NPT14	PT06	PT20	PT12	PT09	PT14	NPT18	NPT05	NPT22	NPT19	NPT20	NPT10	PT07
Lactobacillus crispatus	61.941031941031945	93.34464309017356	99.00449192667233	99.47503860010293	99.8624547246802	99.74601044711746	15.485074626865671	0.0092824654228163	14.101531023368253	0.21102611448166714	0.47005429937596244	0.0	0.22170811644495855	0.0	0.02710761724044456	0.0	0.054727048843891096	0.0	0.0	0.0397456279809221	0.04795588058985733	0.0	0.06558452205279554	0.0	0.0	0.023649048125812935	0.009266123054114159	0.0	0.0	0.0	0.008329168748958855	0.11472275334608031	0.010570824524312896	2.790047114252061	0.0	0.07870202203656618	0.03447324875896304	0.016759402024535765	0.018746485034056116	0.40923706518561825	0.0	0.02263695356909301	0.010700909577314071	0.0
Lactobacillus iners	36.63390663390663	0.19574579146548352	0.1821051353648173	0.02573340195573855	0.027509055063958555	0.18689797287583265	0.35617367706919945	9.941520467836257	1.2892828364222402	7.029807438670535	7.156171488775427	0.0	6.680161943319838	0.11738341692455448	0.04517936206740761	0.35338975169720077	10.808592146668492	0.04636068613815484	3.4559073884916582	24.542925278219396	0.27574631339167965	4.1283727330810445	22.216756845384488	26.752971325056336	2.8369553580987046	4.008513657325293	1.640103780578206	1.0020876826722338	39.195747631153225	46.32824051256777	73.43411627519573	63.021032504780116	65.48625792811839	81.1027679623086	92.12404627122815	95.50187674052549	98.21428571428571	98.57209894750956	99.50009373242517	99.58491669102601	99.84358939983018	99.93963479048243	87.40502942750133	88.19261907265272
Lactobacillus jensenii	0.6060606060606061	0.561137935534386	0.0	0.0	0.0	0.0047922557147649395	0.0	0.0	0.0	0.0	0.016208768943998704	0.0	0.2699055330634278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018532246108228317	0.0	60.74647561821123	0.0	26.353489921705815	30.694710006373487	32.71670190274841	3.0771495877502946	0.0	0.0	0.006894649751792609	0.0	0.0	0.0	0.0	0.002515217063232557	0.0	0.0
Gardnerella vaginalis	0.0	0.0391491582930967	0.0	0.030880082346886256	0.0	0.0	0.0	0.1021071196509793	1.20870265914585	9.298338169348456	2.325958343463814	13.47482724580454	13.69770580296896	15.22783054103084	8.764796241077075	4.7614619176043895	2.2574907648105076	13.089167053005719	26.591760299625467	4.093799682034977	43.11233665028174	64.68766894382463	62.223315297589764	50.87261962620951	11.754630125254256	1.820976705687596	2.1312083024462565	1.3314776154024588	0.026962483629920653	16.71595202891408	0.0	0.0	0.07399577167019028	0.5889281507656066	1.858232832882107	1.9554425475239132	0.020683949255377827	0.2111684655091506	0.0	0.0	0.02234437145283103	0.007545651189697671	0.021401819154628143	0.021028283040689728
UBA629 sp005465875	0.0	0.0	0.012140342357654486	0.020586721564590838	0.0	0.0	0.033921302578018994	0.0185649308456326	0.16116035455278002	0.0	0.040521922359996757	0.0	0.0	0.0	0.0	85.48777085464522	75.85168969763305	51.55308298562819	41.43684031324481	0.0	0.0	0.0	0.2131496966715855	0.0	0.04282196766941441	0.0	0.0	0.0	0.0	0.0	0.0	0.05098789037603569	0.0	0.0	0.0	0.0	0.0	0.6301535161225448	0.0	0.0	0.0	0.0	0.021401819154628143	0.042056566081379455
Lactobacillus paragasseri	0.0	0.0	0.036421027072963456	0.0	0.050433267617257346	0.0	0.0	0.0092824654228163	0.0	0.0	47.5079017748602	69.21026653504441	60.034702139965304	60.39910361754348	0.0	0.009299730307821073	0.0	0.0	0.1361933946203609	0.01987281399046105	0.0	0.0	0.03279226102639777	0.0	0.06423295150412162	0.0	0.0	0.0	0.0	0.03285690816494168	0.0	0.03824091778202677	0.0	0.09570082449941107	0.06153088850603003	0.0	0.0	0.0	0.3499343873023808	0.0	0.004468874290566207	0.0	0.0	0.052570707601724324
Streptococcus pyogenes	0.0	0.026099438862064464	0.0	0.0	0.0	0.0047922557147649395	0.0	0.0	81.4665592264303	75.21762068055922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023977940294928664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium_388775 vaginale	0.0	0.013049719431032232	0.0	0.0	0.013754527531979277	0.0	0.0	0.0	0.0	0.2901609074122923	0.11346138260799092	16.752221125370188	17.389627915943706	23.658094120157934	0.10843046896177824	0.19529433646424255	0.0	0.4945139854736517	0.05107252298263534	5.206677265500795	3.884426327778444	0.1523566127684671	0.0	0.7687889365086379	1.777111658280698	8.06432541090221	12.351742031134174	11.301322199025748	0.0	5.5610317069163795	0.0	0.0	0.0	5.6537102473498235	2.510460251046025	0.25426807119505995	0.013789299503585218	0.0	0.006248828344685372	0.0	0.0	0.007545651189697671	0.03210272873194221	0.0
Megasphaera_C lornae	0.0	0.013049719431032232	0.0	0.0	0.0	0.0	0.033921302578018994	0.0092824654228163	0.0	3.468741756792403	0.0	0.0	0.0	0.010671219720414044	0.9306948585885967	3.138658978889612	5.705294841975647	1.4835419564209549	14.640789921688798	31.35930047694754	10.658194461095793	10.51260628102423	0.0	9.048734149251093	0.0	4.434196523589925	1.7142327650111193	1.9995360705172813	0.007703566751405901	8.526367668802367	0.0	0.0	0.0	0.0	0.012306177701206004	0.42378011865843324	0.0	0.3016692364416438	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella buccalis	0.0	0.026099438862064464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6594566077552098	0.0	0.0	0.0	0.0	0.0	1.8134474100251092	2.7910794910384458	0.18544274455261936	3.4388832141641132	0.0397456279809221	4.004316029253087	2.953752395930604	0.3115264797507788	4.648080236822339	0.0	19.120255409719757	34.590437361008156	29.719322662955232	0.007703566751405901	0.05749958928864794	0.0	0.0	0.0	0.0	0.0	0.04237801186584332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lactobacillus mulieris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.39942448714379	0.0	0.0	0.0	0.019743336623889437	0.0	0.0	0.0	0.009299730307821073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053527459586768016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2208480565371025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella_724518 granulomatis	0.0	0.0	0.0	0.0	0.0	0.0	53.95183175033921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016396130513198885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.956892019766586
Prevotella amnii	0.0	0.0	0.0	0.0	0.0	0.0	0.033921302578018994	0.0	0.08058017727639001	0.3561065681878133	0.0	0.0	0.0	0.0	0.0	1.074118850553334	0.9850868791900397	19.950548601452635	0.5277494041538986	0.0	0.0	0.0	0.0	1.74082092519772	0.0	5.096369871112687	4.206819866567828	5.641382509858501	0.007703566751405901	11.467060949564646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella bivia	0.0	0.0	0.10926308121889036	0.0	0.0	0.0	0.7293080054274084	0.0	0.40290088638195	0.0	29.694464705405625	0.0	0.028918449971081547	0.0	1.1023764344447458	0.0	0.0	0.0	0.0	0.0	0.7433161491427887	5.76497763798103	3.590752582390556	0.0	0.053527459586768016	0.0	0.009266123054114159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06659401864632522	0.062051847766133476	0.003351880404907153	0.0	0.0	0.0	0.0	0.042803638309256285	0.08411313216275891
KA00274 sp001552885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1582695858612503	0.0	0.0	0.0	0.0	0.0	0.05579838184692645	0.013681762210972774	1.9780559418946069	0.20429009193054137	0.0	9.05167246133557	0.5209613210792746	0.0	0.24742632439358458	2.687078471255754	6.136927988648457	6.0044477390659745	6.903270702853166	0.0	0.35321176277312305	0.0	0.0	0.0	0.0	0.0	0.3632401017072285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fannyhessea vaginae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0092824654228163	0.32232070910556004	0.8309153257715642	0.17019207391198637	0.0	0.0	0.0	0.0	0.3068911001580954	0.19154467095361882	0.2627105547828774	0.22131426625808648	7.59141494435612	1.294808775926148	0.0	1.705197573372684	1.3299164936155172	9.774114120543839	1.087856213787395	0.5189028910303929	0.5335189051264208	0.0	2.8339083292262197	0.0	0.0	0.0	0.21348645465253238	1.685946345065223	0.10897203051216856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Metamycoplasma hominis	0.0	0.0	0.0	0.0	0.0	0.0	7.920624151967435	0.0	0.0	0.03956739646531258	0.0	0.0	0.0	0.0	0.0	0.013949595461731612	0.013681762210972774	0.0	0.10214504596527069	0.0	0.08392279103225032	0.0	0.0	0.11487650775416428	0.5245691039503265	10.180915218162468	4.475537435137138	5.376942704708884	0.0	0.09035649745358962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium vaginale H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3394401562354692	0.0	0.0	0.0	6.140699523052464	0.0	0.22607755443062857	0.0	0.0	0.0	5.533877261440227	7.171979243884359	8.137323126884713	0.0	0.0	0.008329168748958855	0.0	0.0	0.007361601884570082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002515217063232557	0.0	0.0
Parvimonas sp001552895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08058017727639001	0.3561065681878133	0.0	0.0	0.0	0.0	0.0	0.06974797730865805	0.12313585989875496	0.5099675475197033	0.40858018386108275	0.0	1.942213163889222	1.5432250454612475	0.0	0.4462510493527151	0.0	6.207875133025896	6.8476649369903635	7.831129668290419	0.0	1.0267783801544275	0.0	0.0	0.0	0.0	0.0	0.1210800339024095	0.0	0.0	0.031244141723426856	0.0	0.0	0.0	0.021401819154628143	0.0
Prevotella timonensis A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36143489653926086	0.0	0.0	2.8898161026116522	1.0554988083077972	0.0	17.000359669104423	0.98294588882882	0.6886374815543532	0.0	1.1347821432394818	0.4375073903275393	0.2687175685693106	0.3943400603108328	0.0	0.4846393954328898	0.0	0.0	0.0	0.0	0.0	0.7022641966339751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium vaginale A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06594566077552097	0.0	0.0	0.0	0.0	0.0	0.2557425834650795	0.0	0.3708854891052387	0.0	15.023847376788554	0.0	1.469504103799086	0.0	0.10603985331153626	0.26763729793384006	1.7736786094359702	1.176797627872498	0.8397123637207144	0.0	2.447839658288155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium vaginale D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0092824654228163	0.0	0.0	0.04862630683199611	0.0	0.00963948332369385	0.0	0.0	0.0	0.12313585989875496	0.0	1.7364657814096014	0.0	0.0	0.0	0.0	0.0	21.346750883203082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gemella asaccharolytica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05114851669301591	0.0	0.0	0.17024174327545114	0.0	0.755305119290253	0.2604806605396373	0.0	0.030928290549198073	13.167755058344932	3.204446021047653	1.7698295033358042	2.008814660171654	0.0	0.14785608674223755	0.0	0.0	0.0	0.0	0.0	0.06054001695120475	0.013789299503585218	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Burkholderia contaminans	0.0	0.0	0.0	0.0	0.0	0.0047922557147649395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.574681485497425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021410983834707204	0.05912262031453234	0.2779836916234248	0.0	0.0	0.0	0.0	0.0	0.0	0.029446407538280327	0.02461235540241201	0.0	0.013789299503585218	0.03687068445397868	0.0	0.0	0.02681324574339724	0.0	0.021401819154628143	0.0
Aerococcus christensenii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4616196254286468	0.12156576707999028	0.0	0.06747638326585695	0.0	0.1716815758561489	0.03254905607737375	0.0	0.0	0.2383384405856316	1.9077901430842605	0.17983455221196498	0.4275814616405367	0.0	0.6804223920823577	0.4175141847767905	5.7230696464467306	3.752779836916234	4.360937137555092	0.0	0.7721373418761295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella_724518 variicola	0.0	0.026099438862064464	0.0	0.0	0.0	0.0	18.300542740841248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07498594013622446	0.005846243788365975	0.0	0.0	0.0	0.0
Sneathia vaginalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009299730307821073	0.0	0.5563282336578581	0.08512087163772557	0.0	2.5056947608200453	0.2506512016513491	0.0	0.12813148941810631	4.742532919387646	3.8547948445075084	2.742772424017791	3.163999072141035	0.0	0.0821422704123542	0.0	0.0	0.0	0.0	0.0	0.10897203051216856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dialister_37762 micraerophilus	0.0	0.0	0.0	0.0	0.004584842510659759	0.0	0.0	0.0	0.0	0.13189132155104194	1.1021962881919118	0.0	0.028918449971081547	0.0	0.0	0.10229703338603181	0.12313585989875496	0.2163498686447226	0.35750766087844743	0.0	0.41961395516125166	0.5553644271882833	0.6886374815543532	0.2076613794017585	1.530885344181565	5.4392810689369755	2.0385470719051146	3.0062630480167014	0.0	0.4764251683916544	0.0	0.0	0.010570824524312896	0.89811542991755	0.06153088850603003	0.0242160067804819	0.0	0.003351880404907153	0.018746485034056116	0.0	0.0	0.0	0.0	0.03154242456103459
Ureaplasma parvum	0.0	5.754926269085215	0.0	0.0	0.0	0.0047922557147649395	0.016960651289009497	0.2227791701475912	0.0	0.0	0.0	0.14807502467917077	0.10603431656063234	0.10671219720414042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010705491917353602	0.0	0.0	0.0	0.0	0.0	0.01665833749791771	0.0	0.021141649048625793	0.03680800942285041	0.0	0.006054001695120475	0.0	0.13407521619628612	0.0	0.0	0.0	0.010060868252930228	8.443017656500801	0.021028283040689728
Bifidobacterium vaginale B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2967015155198962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.221817792527567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5259660349495445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella melaninogenica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.596510009634944	0.8513657325292656	0.6671608598962194	0.8582695430294595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sneathia sanguinegens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0185649308456326	0.0	0.013189132155104196	0.0	0.0	0.0	0.0	1.6083852895997108	0.0	0.0	0.07726781023025807	0.08512087163772557	0.0397456279809221	0.7672940894377173	4.668992971936895	0.0	0.03976494499182609	0.9741997644791778	0.9223128769067045	0.7505559673832468	0.7330085826954302	0.0	0.07392804337111877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016759402024535765	0.0	0.0	0.004468874290566207	0.0	0.0	0.0
Dialister_37762 sp001553355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1978369823265629	0.0	0.0	0.0	0.0	0.02710761724044456	0.23249325769552684	0.09577233547680941	0.4945139854736517	0.18726591760299627	0.19872813990461047	0.6713823282580026	0.1179535066594584	1.4756517461878997	0.19440639773781648	0.835028369553581	1.6790824169327183	0.8246849518161601	1.0716771050800278	0.0	0.39428289797930016	0.0	0.0	0.0	0.0	0.0	0.07870202203656618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Limosilactobacillus portuensis	0.0	0.0	0.0	0.39629439011837364	0.0	0.047922557147649404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4289356277884	0.0	2.525029446407538	0.0	0.0	1.2755102040816326	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Limosilactobacillus vaginalis	0.2375102375102375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.091336412999433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Megasphaera_C hutchinsoni	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3534229639932	1.7705141300646918	0.0	1.4146984774007914	0.0	0.0	0.14138647108204833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04237801186584332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Peptostreptococcus anaerobius	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4834810636583401	0.3561065681878133	0.0	0.0	0.0	0.0	0.018071744826963044	0.0	0.0	0.0	0.0	0.0	0.0	0.1277829655477466	0.04918839153959665	0.0	2.751311422759876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella disiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3479957431713374	1.0285396590066715	1.3917884481558804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006894649751792609	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium vaginale	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3257650542941757	0.6265664160401002	0.39483512965531964	0.1987891930965935	0.0	0.0	0.030907124092103232	0.0	0.0	0.35966910442392996	0.0	0.0	0.4595060310166571	0.6102130392891554	0.0	0.0	0.0	0.0	0.5832101199277148	0.0	0.0	0.0	0.08097762073027091	0.0	0.01210800339024095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Veillonella_A montpellierensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.885718970323004	0.0	0.4175141847767905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3259383871306908
